Facility,Department,Casper ID,Date,Time,Shipment/Bag ID,Seal ID,PTC Code,Device #
MotherHub_YKB,MH-SECONDARY IN,2660320,19-10-2023,05:05 PM,FMPC3161137379,"","",H4050C210600155
MotherHub_YKB,MH-SECONDARY IN,2528146,19-10-2023,05:05 PM,FMPC3162011750,"","",H4050C210600297
MotherHub_YKB,MH-SEMI LARGE TAGGING,2559968,19-10-2023,05:05 PM,F-68143841376612576,"","",H4050C210800488
MotherHub_YKB,MH-PRIMARY,2926392,19-10-2023,05:05 PM,FMPC3159822451,"","",H4050C210800486
MotherHub_YKB,MH-PRIMARY,2633536,19-10-2023,05:05 PM,FMPP1953599702,"","",H4050C210600300
MotherHub_YKB,MH-SECONDARY IN,2458359,19-10-2023,05:05 PM,FMPC3160043917,"","",H4050C210600437
MotherHub_YKB,MH-SECONDARY IN,2739011,19-10-2023,05:05 PM,FMPC3161488396,"","",H4050C210600374
MotherHub_YKB,MH-PRIMARY,2626908,19-10-2023,05:05 PM,FMPC3161760337,"","",H4050C210800607
MotherHub_YKB,MH-SECONDARY IN,2317678,19-10-2023,05:05 PM,FMPC3161087166,"","",H4050C210800183
MotherHub_YKB,MH-SECONDARY IN,2528151,19-10-2023,05:05 PM,FMPC3161619690,"","",H4050C210600537
MotherHub_YKB,MH-SECONDARY IN,2585037,19-10-2023,05:05 PM,FMPC3159637519,"","",H4050C210600643
MotherHub_YKB,MH-PRIMARY,2629294,19-10-2023,05:05 PM,FMPC3161790049,"","",H4050C210800016
MotherHub_YKB,MH-PRIMARY,2829515,19-10-2023,05:05 PM,A-7111870496445507,"","",H4050C210600305
MotherHub_YKB,MH-PRIMARY,2280190,19-10-2023,05:05 PM,FMPP1952811315,"","",H4050C210600417
MotherHub_YKB,MH-SEMI LARGE TAGGING,2627916,19-10-2023,05:05 PM,FMPC3160805140,"","",H4050C210702143
MotherHub_YKB,MH-OUTBOUND,2641833,19-10-2023,05:05 PM,"",SLC31674969-23,"",H4050C210601065
MotherHub_YKB,MH-PRIMARY,2659441,19-10-2023,05:05 PM,G-21102551817436345,"","",H4050C210701077
MotherHub_YKB,MH-SECONDARY IN,2585830,19-10-2023,05:05 PM,FMPC3161024260,"","",H4050C210702004
MotherHub_YKB,MH-PRIMARY,2665564,19-10-2023,05:05 PM,FMPC3159517783,"","",H4050C210801076
MotherHub_YKB,MH-SECONDARY IN,2567497,19-10-2023,05:05 PM,FMPC3161946477,"","",H4050C210600246
MotherHub_YKB,MH-PRIMARY,2695593,19-10-2023,05:05 PM,C-68146950309895338,"","",H4050C210800171
MotherHub_YKB,MH-PRIMARY,2626908,19-10-2023,05:05 PM,FMPC3161779834,"","",H4050C210800607
MotherHub_YKB,MH-SECONDARY IN,2660320,19-10-2023,05:05 PM,FMPC3161839837,"","",H4050C210600155
MotherHub_YKB,MH-PRIMARY,2926392,19-10-2023,05:05 PM,FMPC3159240026,"","",H4050C210800486
MotherHub_YKB,MH-PRIMARY,2658480,19-10-2023,05:05 PM,A-14089521267420474,"","",H4050C210800082
MotherHub_YKB,MH-SECONDARY IN,2528151,19-10-2023,05:05 PM,FMPC3161074765,"","",H4050C210600537
MotherHub_YKB,MH-SECONDARY IN,2660318,19-10-2023,05:05 PM,FMPC3159672064,"","",H4050C200700420
MotherHub_YKB,MH-PRIMARY,2280549,19-10-2023,05:05 PM,"",SPI32005308-23,"",H4050C210600241
MotherHub_YKB,MH-PRIMARY,2633536,19-10-2023,05:05 PM,FMPC3162566420,"","",H4050C210600300
MotherHub_YKB,MH-SECONDARY IN,2458359,19-10-2023,05:05 PM,FMPC3159977482,"","",H4050C210600437
MotherHub_YKB,MH-SECONDARY IN,2739011,19-10-2023,05:05 PM,MYEC1003456092,"","",H4050C210600374
MotherHub_YKB,MH-PRIMARY,2692231,19-10-2023,05:05 PM,FMPC3162127961,"","",H4050C180800383
MotherHub_YKB,MH-SEMI LARGE TAGGING,2559968,19-10-2023,05:05 PM,F-7713159231796184,"","",H4050C210800488
MotherHub_YKB,MH-PRIMARY,2626908,19-10-2023,05:05 PM,FMPC3161036236,"","",H4050C210800607
MotherHub_YKB,MH-SEMI LARGE TAGGING,2627916,19-10-2023,05:05 PM,FMPP1953674603,"","",H4050C210702143
MotherHub_YKB,MH-SECONDARY IN,2528146,19-10-2023,05:05 PM,WMLC0001724092,"","",H4050C210600297
MotherHub_YKB,MH-OUTBOUND,2735900,19-10-2023,05:05 PM,FMPC3161425609,"","",H4050C210600452
MotherHub_YKB,MH-SECONDARY IN,2585037,19-10-2023,05:05 PM,FMPC3157600511,"","",H4050C210600643
MotherHub_YKB,MH-PRIMARY,2629294,19-10-2023,05:05 PM,FMPP1953833586,"","",H4050C210800016
MotherHub_YKB,MH-INBOUND,2561112,19-10-2023,05:05 PM,PH-ZO-DELYKB-29517526,"","",H4050C210600454
MotherHub_YKB,MH-PRIMARY,2658480,19-10-2023,05:05 PM,FMPP1952741158,"","",H4050C210800082
MotherHub_YKB,MH-SECONDARY IN,2567497,19-10-2023,05:05 PM,FMPP1952891258,"","",H4050C210600246
MotherHub_YKB,MH-SECONDARY IN,2317678,19-10-2023,05:05 PM,FMPC3159818770,"","",H4050C210800183
MotherHub_YKB,MH-SEMI LARGE TAGGING,2559968,19-10-2023,05:05 PM,FMPC3160781037,"","",H4050C210800488
